event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
LLM_END,1783252244.1111782,0,334,325,659,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,9f468cfa-d4c6-4fe8-a42f-13f4a58e087c,,<workflow>,34.0,0.4718303680419922,565085.6347084045,,571246.4733123779
LLM_START,1783252244.11165,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,f6f172e3-9b92-4954-95ad-232babec96af,,<workflow>,33.0,6036.164999008179,565085.1628780365,254.0,571246.0014820099
LLM_END,1783252250.1474416,0,375,254,629,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,f6f172e3-9b92-4954-95ad-232babec96af,,<workflow>,33.0,0.3733634948730469,559049.3712425232,,565210.2098464966
LLM_START,1783252250.147815,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,3e999dc8-a565-4d48-8585-744d6d32d6ae,,<workflow>,32.0,2709.568500518799,559048.9978790283,140.0,565209.8364830017
LLM_END,1783252252.8570004,0,316,140,456,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,3e999dc8-a565-4d48-8585-744d6d32d6ae,,<workflow>,32.0,0.38313865661621094,556339.8125171661,,562500.6511211395
LLM_START,1783252252.8573835,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,16e18d38-66fe-4dac-a76c-d95a365d71d2,,<workflow>,31.0,4404.497385025024,556339.4293785095,236.0,562500.2679824829
LLM_END,1783252257.2614684,0,374,236,610,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,16e18d38-66fe-4dac-a76c-d95a365d71d2,,<workflow>,31.0,0.4124641418457031,551935.3444576263,,558096.1830615997
LLM_START,1783252257.2618809,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,5fdb963f-f739-467d-8bc7-99d9b89ddc37,,<workflow>,30.0,5763.374328613281,551934.9319934845,228.0,558095.7705974579
LLM_END,1783252263.0247529,0,336,228,564,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,5fdb963f-f739-467d-8bc7-99d9b89ddc37,,<workflow>,30.0,0.5023479461669922,546172.0600128174,,552332.8986167908
LLM_START,1783252263.0252552,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,1f851db9-70c5-4a40-9c68-627b5912ebb2,,<workflow>,29.0,4064.1417503356934,546171.5576648712,204.0,552332.3962688446
LLM_END,1783252267.0888865,0,346,204,550,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,1f851db9-70c5-4a40-9c68-627b5912ebb2,,<workflow>,29.0,0.5104541778564453,542107.9263687134,,548268.7649726868
LLM_START,1783252267.089397,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,5aeca94b-0f62-4d7b-8f16-4bb6625afd20,,<workflow>,28.0,7892.794132232666,542107.4159145355,278.0,548268.2545185089
LLM_END,1783252274.9806223,0,335,278,613,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,5aeca94b-0f62-4d7b-8f16-4bb6625afd20,,<workflow>,28.0,1.5687942504882812,534216.1905765533,,540377.0291805267
LLM_START,1783252274.982191,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,1e0f51da-08da-41d9-a156-8abcf28489ca,,<workflow>,27.0,77054.65388298035,534214.6217823029,3205.0,540375.4603862762
LLM_END,1783252352.035999,0,1756,3205,4961,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,1e0f51da-08da-41d9-a156-8abcf28489ca,,<workflow>,27.0,0.8459091186523438,457160.81380844116,,463321.65241241455
LLM_START,1783252352.036845,0,0,0,0,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,fce63b2b-8211-42c0-9fc1-1c1f138e4fee,,<workflow>,26.0,63749.3097782135,457159.9678993225,2233.0,463320.8065032959
LLM_END,1783252415.7856164,0,1767,2233,4000,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,fce63b2b-8211-42c0-9fc1-1c1f138e4fee,,<workflow>,26.0,0.5383491516113281,393411.1964702606,,399572.035074234
LLM_START,1783252415.7861547,0,0,0,0,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,15ea43d6-a620-4ce7-a032-d222943e5513,,<workflow>,25.0,81714.50710296631,393410.658121109,1712.0,399571.4967250824
LLM_END,1783252497.4999077,0,1646,1712,3358,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,15ea43d6-a620-4ce7-a032-d222943e5513,,<workflow>,25.0,0.7541179656982422,311696.9051361084,,317857.7437400818
LLM_START,1783252497.5006618,0,0,0,0,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,6047c751-d03e-437a-afa0-771f91bd0706,,<workflow>,24.0,9008.294582366943,311696.1510181427,278.0,317856.9896221161
LLM_END,1783252506.508541,0,2898,278,3176,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,6047c751-d03e-437a-afa0-771f91bd0706,,<workflow>,24.0,0.4153251647949219,302688.27176094055,,308849.11036491394
LLM_START,1783252506.5089564,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,08a44c33-92cf-461f-a93d-8c536422059f,,<workflow>,23.0,6376.273393630981,302687.85643577576,326.0,308848.69503974915
LLM_END,1783252512.884814,0,354,326,680,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,08a44c33-92cf-461f-a93d-8c536422059f,,<workflow>,23.0,0.415802001953125,296311.9988441467,,302472.8374481201
LLM_START,1783252512.8852298,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,4fe5f8a1-8e40-4b77-87da-1e9a708aa61d,,<workflow>,22.0,6175.265789031982,296311.5830421448,247.0,302472.42164611816
LLM_END,1783252519.060081,0,339,247,586,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,4fe5f8a1-8e40-4b77-87da-1e9a708aa61d,,<workflow>,22.0,0.4146099090576172,290136.73186302185,,296297.57046699524
LLM_START,1783252519.0604956,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,ba0c316c-6441-4be5-830f-e6531c9fc34d,,<workflow>,21.0,4861.889123916626,290136.3172531128,276.0,296297.1558570862
LLM_END,1783252523.9219666,0,337,276,613,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,ba0c316c-6441-4be5-830f-e6531c9fc34d,,<workflow>,21.0,0.4181861877441406,285274.8463153839,,291435.6849193573
LLM_START,1783252523.9223847,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,5f58484a-6ee1-44bb-9f90-3bc1099c5e20,,<workflow>,20.0,4903.689622879028,285274.42812919617,192.0,291435.26673316956
LLM_END,1783252528.8256278,0,337,192,529,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,5f58484a-6ee1-44bb-9f90-3bc1099c5e20,,<workflow>,20.0,0.44655799865722656,280371.1850643158,,286532.0236682892
LLM_START,1783252528.8260744,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,12c67a4c-a73a-470e-be70-07cdbac47a75,,<workflow>,19.0,5630.479097366333,280370.73850631714,250.0,286531.5771102905
LLM_END,1783252534.4561687,0,347,250,597,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,12c67a4c-a73a-470e-be70-07cdbac47a75,,<workflow>,19.0,0.3848075866699219,274740.6442165375,,280901.48282051086
LLM_START,1783252534.4565535,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,1c53b9f3-3823-40fd-beb1-58a294c8ea62,,<workflow>,18.0,6349.848508834839,274740.2594089508,272.0,280901.0980129242
